Market Name,4 Week Rate,4 Week TRP,CPP,CPM,Latitude,Longitude
Aberdeen SD (CBSA),3082.5,1000,3,8.5,45.464699,-98.486483
Abilene TX (CBSA),3502.0833333333,766.6666666667,5.25,3.3333333333,32.448736,-99.733144
Adrian MI (CBSA),2550,200,6.5,6.5,41.897547,-84.037166
Alamogordo NM (CBSA),3333.3333333333,766.6666666667,5.6666666667,9.3333333333,32.899533,-105.960265
Albany-Schenectady-Troy (DMA),34427.5,500,73.625,6,42.791803,-73.873271
Albany-Schenectady-Troy NY (CBSA),21228.8888888889,555.5555555556,41.8888888889,5.4444444444,42.791803,-73.873271
Albertville AL (CBSA),1600,400,4,4,34.267594,-86.208867
Albuquerque,26946.8125,156.25,44.0625,2.986875,35.085334,-106.605553
Albuquerque-Santa Fe (DMA),17200,250,70,4.5,35.075694,-106.65618
Alexandria LA (CBSA),4952.7777777778,844.4444444444,7.2777777778,5.7222222222,31.311294,-92.445137
Alexandria LA (DMA),7282.3529411765,800,10.2352941176,5.1176470588,31.311294,-92.445137
Alexandria MN (CBSA),892.5,300,3,7,45.884816,-95.377666
Alice TX  (CBSA),1459,700,2.3,6.2,45.884816,-95.377666
Allentown-Bethlehem-Easton PA-NJ (CBSA),19712.5,475,41.375,5.75,40.058324,-74.405661
Alma MI (CBSA),2040,720,3,7,43.37892,-84.659727
Altoona PA (CBSA),11276.3125,1025,11.6875,10.4375,40.518681,-78.394736
Amarillo TX  (CBSA),12340.4166666667,1000,13.6666666667,6.75,40.518681,-78.394736
Ames IA  (CBSA),1050,333.3333333333,3.3333333333,3.6666666667,35.221997,-101.831297
Angola IN (CBSA),1500,300,6,12,41.634773,-84.999409
Ann Arbor MI (CBSA),4500,200,23,7,42.280826,-83.743038
Anniston-Oxford AL (CBSA),4985.6,860,5.6,5.6,33.589824,-85.851965
Appleton WI (CBSA),4956.25,500,11,4.9166666667,44.261931,-88.415385
Arcadia FL (CBSA),1933.3333333333,400,5.3333333333,15.6666666667,27.215883,-81.858416
Asheville NC (CBSA),11542.8571428571,714.2857142857,15.1428571429,4,35.595058,-82.551487
Ashtabula OH (CBSA),7168.75,750,11.25,11.25,41.865053,-80.789809
Atchison KS (CBSA),1066.6666666667,466.6666666667,3,12,39.563052,-95.121636
Athens OH (CBSA),2000,200,10,12,39.32924,-82.101255
Athens TN (CBSA),1234.375,425,3.25,5.375,35.442851,-84.59299
Athens TX (CBSA),1740,400,5,6.4,32.204873,-95.855521
Athens-Clarke County GA  (CBSA),3000,200,15,8,32.204873,-95.855521
Atlanta,64242.25,156.25,106.3125,2.140625,33.748995,-84.387982
Atlanta-Sandy Springs-Marietta GA (CBSA),88831.25,850,132.25,3.25,33.888116,-84.46427
Auburn IN (CBSA),1500,600,2.8,7,41.366994,-85.058857
Auburn-Opelika AL (CBSA),7377.5294117647,1023.5294117647,7.3529411765,5.1764705882,32.613769,-85.435266
Austin (DMA),58266.6666666667,866.6666666667,78.1666666667,4.8333333333,30.267153,-97.743061
Austin-Round Rock TX (CBSA),56445.4545454545,854.5454545455,70.3636363636,4.8181818182,30.483571,-97.736778
Bainbridge GA  (CBSA),1012.5,400,2.75,10.5,30.483571,-97.736778
Bakersfield (DMA),44720.1818181818,945.4545454545,47.8181818182,8,35.373292,-119.018712
Bakersfield CA (CBSA),44720.1818181818,945.4545454545,47.8181818182,8,35.373292,-119.018712
Baltimore,122361.3125,156.25,205.6875,8.914375,39.290385,-76.612189
Baraboo WI (CBSA),1400,366.6666666667,4.1666666667,6.1666666667,43.471094,-89.744291
Bartlesville OK  (CBSA),1625,600,3.5,5.5,43.471094,-89.744291
Batavia NY (CBSA),2983.3333333333,400,7.6666666667,15.3333333333,42.998116,-78.187517
Batesville AR  (CBSA),595,300,2,5,42.998116,-78.187517
Baton Rouge (DMA),30347.75,1000,31.75,4,30.458283,-91.14032
Baton Rouge LA  (CBSA),17592.5833333333,883.3333333333,20.7916666667,3.1666666667,30.458283,-91.14032
Battle Creek MI (CBSA),2466.6666666667,400,7,4.3333333333,42.321152,-85.179714
Bay City MI (CBSA),4540,500,9.3333333333,9.3333333333,43.594468,-83.888865
Beatrice NE  (CBSA),247.5,300,1,4.5,43.594468,-83.888865
Beaumont-Port Arthur (DMA),9492.8571428572,914.2857142857,11,2.8571428571,29.950833,-94.020694
Beaumont-Port Arthur TX (CBSA),7860,914.2857142857,8.5714285714,2.8571428571,29.950833,-94.020694
Beckley WV (CBSA),2133.75,483.3333333333,4.6666666667,3.3333333333,37.77817,-81.188156
Bedford IN (CBSA),1246.1111111111,555.5555555556,3.3333333333,6,38.861162,-86.487215
