Location,Code,Location2,Code2
Abilene-Sweetwater (DMA),#ERROR!,"Abilene-, Sweetwater",#ERROR!
Albany-Schenectady-Troy (DMA),#ERROR!,"Albany-Schenectady-, Troy",#ERROR!
Albuquerque,#ERROR!,Albuquerque,#ERROR!
Albuquerque-Santa Fe (DMA),#ERROR!,"Albuquerque-Santa , Fe",#ERROR!
Allentown-Bethlehem-Easton PA-NJ (CBSA),#ERROR!,"Allentown-Bethlehem-Easton PA-, NJ",#ERROR!
Arecibo (Region) (DMA),#ERROR!,", Arecibo ",#ERROR!
Athens-Clarke County GA (CBSA),#ERROR!,"Athens-Clarke County , GA",#ERROR!
Atlanta,#ERROR!,Atlanta,#ERROR!
Atlanta (DMA),#ERROR!,", Atlanta",#ERROR!
Augusta (DMA),#ERROR!,", Augusta",#ERROR!
Augusta-Richmond County GA-SC (CBSA),#ERROR!,"Augusta-Richmond County GA-, SC",#ERROR!
Austin (DMA),#ERROR!,", Austin",#ERROR!
Bakersfield (DMA),#ERROR!,", Bakersfield",#ERROR!
Baltimore,#ERROR!,Baltimore,#ERROR!
Bluefield-Beckley-Oak Hill (DMA),#ERROR!,"Bluefield-Beckley-Oak , Hill",#ERROR!
Bluefield WV-VA (CBSA),#ERROR!,"Bluefield WV-, VA",#ERROR!
Butte-Bozeman (DMA),#ERROR!,"Butte-, Bozeman",#ERROR!
Charleston-Huntington (DMA),#ERROR!,"Charleston-, Huntington",#ERROR!
Cincinnati (DMA),#ERROR!,", Cincinnati",#ERROR!
Clarksburg-Weston (DMA),#ERROR!,"Clarksburg-, Weston",#ERROR!
Cleveland,#ERROR!,Cleveland,#ERROR!
Columbus-Tupelo-West Point (DMA),#ERROR!,"Columbus-Tupelo-West , Point",#ERROR!
Corpus Christi (DMA),#ERROR!,"Corpus , Christi",#ERROR!
Cumberland MD-WV (CBSA),#ERROR!,"Cumberland MD-, WV",#ERROR!
Dallas-Fort Worth (DMA),#ERROR!,"Dallas-Fort , Worth",#ERROR!
Dayton (DMA),#ERROR!,", Dayton",#ERROR!
De Ridder LA (CBSA),#ERROR!,"De Ridder , LA",#ERROR!
Erie (DMA),#ERROR!,", Erie",#ERROR!
Fargo ND-MN (CBSA),#ERROR!,"Fargo ND-, MN",#ERROR!
Fargo-Valley City (DMA),#ERROR!,"Fargo-Valley , City",#ERROR!
Fayetteville-Springdale-Rogers AR-MO (CBSA),#ERROR!,"Fayetteville-Springdale-Rogers AR-, MO",#ERROR!
Flint-Saginaw-Bay City (DMA),#ERROR!,"Flint-Saginaw-Bay , City",#ERROR!
Grand Rapids-Kalmazoo-Battle Creek (DMA),#ERROR!,"Grand Rapids-Kalmazoo-Battle , Creek",#ERROR!
Greensboro-High Point-Winston-Salem (DMA),#ERROR!,"Greensboro-High Point-Winston-, Salem",#ERROR!
Greenville et al SC-NC (DMA),#ERROR!,"Greenville et al SC-, NC",#ERROR!
Helena (DMA),#ERROR!,", Helena",#ERROR!
Houston,#ERROR!,Houston,#ERROR!
Iron Mountain MI-WI (CBSA),#ERROR!,"Iron Mountain MI-, WI",#ERROR!
Knoxville (DMA),#ERROR!,", Knoxville",#ERROR!
LaGrange GA (CBSA),#ERROR!,"LaGrange , GA",#ERROR!
Las Vegas (DMA),#ERROR!,"Las , Vegas",#ERROR!
Lewiston ID-WA (CBSA),#ERROR!,"Lewiston ID-, WA",#ERROR!
Little Rock-Pine Bluff (DMA),#ERROR!,"Little Rock-Pine , Bluff",#ERROR!
Lubbock (DMA),#ERROR!,", Lubbock",#ERROR!
Memphis (DMA),#ERROR!,", Memphis",#ERROR!
Miami-Ft Lauderdale,#ERROR!,Miami-Ft Lauderdale,#ERROR!
Minneapolis-Saint Paul (DMA),#ERROR!,"Minneapolis-Saint , Paul",#ERROR!
Montgomery-Selma (DMA),#ERROR!,"Montgomery-, Selma",#ERROR!
Nashville (DMA),#ERROR!,", Nashville",#ERROR!
Natchez MS-LA (CBSA),#ERROR!,"Natchez MS-, LA",#ERROR!
New Orleans (DMA),#ERROR!,"New , Orleans",#ERROR!
New York (DMA),#ERROR!,"New , York",#ERROR!
New York-Northern New Jersey-Long Island NY-NJ-PA (CBSA),#ERROR!,"New York-Northern New Jersey-Long Island NY-NJ-, PA",#ERROR!
Norfolk-Portsmouth-Newport News (DMA),#ERROR!,"Norfolk-Portsmouth-Newport , News",#ERROR!
Orlando-Daytona Beach-Melbourne (DMA),#ERROR!,"Orlando-Daytona Beach-, Melbourne",#ERROR!
Paducah-Cape Girardeau-Harrisburg (DMA),#ERROR!,"Paducah-Cape Girardeau-, Harrisburg",#ERROR!
