ZIP,count,Total,percent_male,MedianAge,percentCollegeDegree,MedianIncome,percent_own
29634,1,6402,0.497188379,19.4,0.6,,0
30336,1,752,0.590425532,29.1,0,31496,0
30602,1,2562,0.403981265,19.4,0.7,,0
31547,1,952,0.860294118,22,1.9,35673,0
37213,1,175,0.88,41,0,,0
37228,1,1330,0.37443609,30.3,33.6,26541,0
44308,1,735,0.586394558,36.3,0,7333,0
53706,4,6281,0.519025633,19.2,0.6,12917,0
60088,2,13274,0.753503089,21.2,3.3,30696,0
61112,1,106,0.490566038,89.4,,,0
75251,1,2945,0.497113752,30.2,80.9,45339,0
76155,2,3643,0.474883338,33.4,3.1,41128,0
77010,1,564,0.542553191,41.7,84.1,168839,0
78235,1,799,0.513141427,21.7,0,40856,0
90089,4,3276,0.461538462,19.3,3.5,26019,0
91330,8,2138,0.416276894,19.9,1.7,9239,0
94720,1,3026,0.496364838,19.3,8.7,19766,0
96860,1,1091,0.864344638,22.5,0,26216,0
00934,,245,0.628571429,26.5,0,56776,0
01731,,1717,0.49737915,17.7,7.6,54412,0
02163,,2100,0.452380952,25.7,6.1,22740,0
02357,,959,0.460896767,19.9,0,,0
02457,,1343,0.474311243,20.4,8,,0
04228,,75,0.666666667,41.6,,,0
04944,,56,1,,,,0
05439,,1697,0.383028874,20.3,0.5,42941,0
05850,,185,0.578378378,19.6,0,90139,0
06387,,171,0.678362573,27.5,0,20819,0
07311,,435,0.565517241,33.1,0,147418,0
10162,,1327,0.547098719,39.7,,157917,0
10910,,26,0,,,,0
13051,,13,1,,,,0
13602,,3269,0.854695626,22.1,0.8,26895,0
15621,,30,0.833333333,8.5,,,0
15752,,75,0.533333333,24.9,0,27292,0
16155,,78,0.205128205,80.6,,,0
16501,,2106,0.415479582,51.3,8,18214,0
16725,,86,0.465116279,39.5,0,,0
17076,,41,0.731707317,23.4,0,,0
17077,,19,0.526315789,53.1,,,0
17256,,14,1,,,,0
18068,,151,0.317880795,,0,,0
18935,,21,0.476190476,,52.4,,0
19375,,74,0.635135135,33.4,,35926,0
19472,,34,1,,,,0
20052,,503,0.483101392,19.7,3.7,,0
20118,,8,0.5,56,,36250,0
20317,,355,0.754929577,84.7,,,0
20762,,3632,0.48595815,25.1,6.9,36434,0
20899,,115,0.834782609,61.6,,26667,0
21010,,125,0.512,33.4,,73958,0
22211,,895,0.917318436,22.2,1.4,25451,0
22448,,826,0.636803874,23,14.6,41442,0
22904,,5019,0.434947201,19.6,0.4,26458,0
22989,,123,0.601626016,45.5,,53728,0
23441,,81,0.790123457,7.2,,,0
23459,,1227,0.563162184,20.5,0,37125,0
23651,,592,0.552364865,33,0,47125,0
23665,,5593,0.531736099,22.2,0,40015,0
23691,,188,0.478723404,13.3,,60521,0
24131,,31,0.548387097,,,,0
25853,,125,0,,,,0
25855,,222,0.441441441,67.3,0,,0
27340,,33,0,,,,0
28308,,293,0.825938567,22.3,5.6,33750,0
28543,,5287,0.509551731,21.9,0,26518,0
28547,,19145,0.802611648,21.5,0.3,33559,0
29152,,1482,0.594466937,22.1,0,31229,0
29338,,11,0,,,,0
29368,,16,0,,,,0
29404,,1129,0.658104517,22.3,5.6,31850,0
29409,,2178,0.922865014,20.3,0,131250,0
29724,,14,0.714285714,,,,0
29905,,3989,0.82175984,20.2,5.2,32409,0
30149,,1396,0.212750716,19.9,0.2,37656,0
31062,,278,0.705035971,68.3,0,,0
31098,,3278,0.546369738,21.9,0.8,43897,0
32212,,1856,0.710668103,23.1,1.9,30549,0
32403,,3425,0.561751825,21.1,2.6,39743,0
32508,,6950,0.783884892,20.5,3,27722,0
32544,,1717,0.68957484,21.1,4,26033,0
32612,,6564,0.39488117,19.1,0,,0
32925,,1293,0.558391338,25,3.1,37672,0
33621,,2130,0.558215962,23.1,2.7,42791,0
33856,,465,0.492473118,73.2,,,0
33877,,317,0.287066246,35,0,,0
34268,,187,0.545454545,29.5,0,37688,0
35013,,42,0.714285714,27.5,0,,0
35808,,1475,0.637966102,22.5,1.7,32449,0
36112,,394,0.555837563,21.1,0,22083,0
36113,,1621,0.778531771,33.9,6.5,17917,0
36115,,724,0.577348066,21.5,8.2,43125,0
36267,,32,0.65625,53.5,,,0
36362,,4844,0.57101569,22.2,16.3,39012,0
36512,,24,0,,0,,0
36615,,234,0.521367521,48.6,,30682,0
37240,,626,0.536741214,20,1.3,,0
37315,,1266,0.423380727,20.1,0.1,11051,0
38054,,263,0.714828897,23.7,0,59773,0
38677,,4541,0.470380973,19.3,0.6,20054,0
38731,,171,0.426900585,33.5,,,0
38738,,2874,0.984690327,36.8,0,13051,0
38749,,16,0.4375,,,,0
38765,,84,0.321428571,5.7,,,0
