UANUM,UANAME,UANAME_LONG,PredictedStationCount,ActualStationCount,CountDifference,ModelPeoplePerStation,IncentiveCount,Population,StationCount,PeoplePerStation,StationsPerPerson,IncentivesCount,Population,Households,Owners,percent_own,State,"Household Income Less than $10,000","Household Income $10,000 to $14,999","Household Income $15,000 to $19,999","Household Income $20,000 to $24,999","Household Income $25,000 to $29,999","Household Income $30,000 to $34,999","Household Income $35,000 to $39,999","Household Income $40,000 to $44,999","Household Income $45,000 to $49,999","Household Income $50,000 to $59,999","Household Income $60,000 to $74,999","Household Income $75,000 to $99,999","Household Income $100,000 to $124,999","Household Income $125,000 to $149,999","Household Income $150,000 to $199,999","Household Income $200,000 or more",Geography,Total; Estimate; Population 18 to 24 years,Male; Estimate; Population 18 to 24 years,Female; Estimate; Population 18 to 24 years,Total; Estimate; Bachelor's degree or higher,Male; Estimate; Bachelor's degree or higher,Female; Estimate; Bachelor's degree or higher,Total; Estimate; Population 25 years and over,Male; Estimate; Population 25 years and over,Female; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Bachelor's degree,Male; Estimate; Population 25 years and over - Bachelor's degree,Female; Estimate; Population 25 years and over - Bachelor's degree,Total; Estimate; Population 25 years and over - Graduate or professional degree,Male; Estimate; Population 25 years and over - Graduate or professional degree,Female; Estimate; Population 25 years and over - Graduate or professional degree,Total; Estimate; Percent bachelor's degree or higher,Male; Estimate; Percent bachelor's degree or higher,Female; Estimate; Percent bachelor's degree or higher,Total; Estimate; Population 25 to 34 years,Male; Estimate; Population 25 to 34 years,Female; Estimate; Population 25 to 34 years,Total; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Male; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Female; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Total; Estimate; Population 35 to 44 years,Male; Estimate; Population 35 to 44 years,Female; Estimate; Population 35 to 44 years,Total; Estimate; Population 35 to 44 years - Bachelor's degree or higher,Male; Estimate; Population 35 to 44 years - Bachelor's degree or higher,Female; Estimate; Population 35 to 44 years - Bachelor's degree or higher,Total; Estimate; Population 45 to 64 years,Male; Estimate; Population 45 to 64 years,Female; Estimate; Population 45 to 64 years,Total; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Male; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Female; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Total; Estimate; Population 65 years and over,Male; Estimate; Population 65 years and over,Female; Estimate; Population 65 years and over,Total; Estimate; Population 65 years and over - Bachelor's degree or higher,Male; Estimate; Population 65 years and over - Bachelor's degree or higher,Female; Estimate; Population 65 years and over - Bachelor's degree or higher,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Male; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Female; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,Male; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,Female; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Male; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Female; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,graduate_25+,latlong
63217,"New York--Newark, NY--NJ--CT","New York--Newark, NY--NJ--CT Urbanized Area (2010)",473.76,402,71.76,38735.42511,2,18351295,402,45649.98756,0.0000219,2,18351295,6646283,3382302,50.89012911,NY,489947,311434,306131,291395,270909,271719,240495,249367,221926,443372,578341,789057,611143,421121,513962,635964,"New York--Newark, NY--NJ--CT Urbanized Area (2010)",1747244,881482,865762,16,13.2,18.8,12580370,5897916,6682454,21.5,21.8,21.3,15.1,15.1,15.1,36.6,36.9,36.4,2695091,1324171,1370920,45.4,40.9,49.8,2568690,1254215,1314475,41,38.7,43.2,4856024,2311625,2544399,35.3,36.1,34.6,2460565,1007905,1452660,24.9,31.1,20.6,43380,50159,37918,58490,69281,51375,79394,96568,67739,1899635.87,"43.0466667,-77.0955556"
40429,"Houston, TX","Houston, TX Urbanized Area (2010)",191.02,136,55.02,25883.84462,3,4944332,136,36355.38235,0.0000275,3,4944332,1722997,1030178,59.78988936,TX,111008,78360,86761,88576,83271,88518,75431,78319,71258,131396,162163,206729,147368,91454,106343,116042,"Houston, TX Urbanized Area (2010)",493272,255021,238251,8.6,6.6,10.8,3157218,1540260,1616958,19.8,19.8,19.8,10.7,11.5,9.9,30.5,31.4,29.7,792769,399217,393552,30.3,26.9,33.7,739107,367971,371136,31.2,30.4,32,1200126,587781,612345,31.6,33.5,29.7,425216,185291,239925,26.9,36,19.9,37296,43037,31123,56312,72715,48374,74616,95647,58169,337822.326,"29.7630556,-95.3630556"
42346,"Jacksonville, FL","Jacksonville, FL Urbanized Area (2010)",70.64,21,49.64,15079.54417,3,1065219,21,50724.71429,0.0000197,3,1065219,403810,260635,64.5439687,FL,30904,19992,20097,21847,21414,21869,20554,20014,17687,34256,41699,50408,31971,18386,16507,16205,"Jacksonville, FL Urbanized Area (2010)",106407,54168,52239,9,8,10.1,714195,338216,375979,19.6,19.6,19.6,9,9.4,8.6,28.6,29,28.2,153813,75752,78061,28.9,24.6,33,146942,71603,75339,31.5,29.8,33.1,287334,137141,150193,28.4,29.6,27.3,126106,53720,72386,25,32.2,19.7,34938,40375,30918,46250,56213,40665,62027,81011,50530,64277.55,"30.3319444,-81.6558333"
90892,"Virginia Beach, VA","Virginia Beach, VA Urbanized Area (2010)",81.3,34,47.3,17708.06888,3,1439666,34,42343.11765,0.0000236,3,1439666,533967,321741,60.25484721,VA,31641,21647,23237,23991,24778,28330,25212,26789,23987,48252,59242,73131,47774,29845,26553,19558,"Virginia Beach, VA Urbanized Area (2010)",176714,94984,81730,7.8,5.4,10.7,927380,439639,487741,18,17.2,18.7,10.3,10.6,10,28.3,27.9,28.7,220487,111837,108650,27.8,22.7,33,182374,88804,93570,31.6,28.8,34.3,363945,172178,191767,29.7,30.5,28.9,160574,66820,93754,22.2,28.5,17.8,37422,45013,30403,48132,61134,40422,64840,85401,53258,95520.14,"36.8527778,-75.9783333"
77068,"Sacramento, CA","Sacramento, CA Urbanized Area (2010)",171.72,126,45.72,10037.46797,15,1723634,126,13679.63492,0.0000731,15,1723634,633379,373855,59.02548079,CA,34932,33965,29217,31254,29261,30614,29509,29055,25070,50145,64151,81978,58346,36372,39758,29752,"Sacramento, CA Urbanized Area (2010)",167418,84823,82595,7,5.3,8.8,1137230,541981,595249,20.1,20.3,20,10,10.6,9.4,30.1,30.9,29.4,247829,123294,124535,28.8,25.2,32.3,234694,115384,119310,34.1,32.1,36,443384,213232,230152,30.4,31.8,29,211323,90071,121252,26.7,34.8,20.7,39743,44516,35121,56164,66771,48595,75481,86751,64928,113723,"38.5816667,-121.4933333"
79093,"San Juan, PR","San Juan, PR Urbanized Area (2010)",32.06,0,32.06,67010.16843,0,2148346,0,0,0,0,2148346,719995,500890,69.56853867,PR,179459,77042,71823,55923,47659,42699,36165,31203,24981,40566,40269,33434,16436,7996,7376,6964,"San Juan, PR Urbanized Area (2010)",214287,107013,107274,6.7,4.5,9,1412723,645632,767091,18.5,15.6,20.9,7.6,6.7,8.3,26,22.4,29.2,282212,135159,147053,29.7,23.2,35.7,276995,131691,145304,33.5,26.6,39.8,531763,242108,289655,27,23.2,30.2,321753,136674,185079,14.9,16.1,14,19607,19574,19640,27561,32241,25521,39542,50757,35545,107366.948,"18.4683333,-66.1061111"
56116,"Memphis, TN--MS--AR","Memphis, TN--MS--AR Urbanized Area (2010)",55.56,26,29.56,19079.57163,2,1060061,26,40771.57692,0.0000245,2,1060061,392467,234186,59.67023979,TN,37297,22790,24293,23369,22242,22471,18854,19739,16468,32385,38232,42348,26733,16765,14777,13704,"Memphis, TN--MS--AR Urbanized Area (2010)",108046,53918,54128,7.7,5.7,9.7,676297,311577,364720,17.4,17.3,17.6,10,9.7,10.2,27.4,27,27.8,151050,72343,78707,28.3,24.3,32.1,143996,68550,75446,30.7,27.8,33.3,269756,126064,143692,28,28.3,27.7,111495,44620,66875,20.7,26.7,16.7,33383,39593,29879,47612,60339,41136,60363,75016,52436,67629.7,"35.1494444,-90.0488889"
16885,"Cincinnati, OH--KY--IN","Cincinnati, OH--KY--IN Urbanized Area (2010)",60.62,32,28.62,26803.4807,0,1624827,32,50775.84375,0.0000197,0,1624827,634071,413356,65.19080671,OH,49059,33102,32391,32975,29327,30301,29303,28323,26328,49618,65575,79654,53285,32321,33497,29012,"Cincinnati, OH--KY--IN Urbanized Area (2010)",151448,77027,74421,11.6,9.3,13.9,1071279,507985,563294,20.9,22,19.8,12.2,12.8,11.6,33,34.8,31.4,222092,108967,113125,37.8,34.7,40.7,214652,106348,108304,38.2,37.4,39,433968,209586,224382,32.5,34.9,30.2,200567,83084,117483,23.5,31.4,17.9,38249,45578,31782,52048,64720,41585,65898,83647,54020,130696.038,"39.1619444,-84.4569444"
4384,"Austin, TX","Austin, TX Urbanized Area (2010)",149.68,124,25.68,9102.191342,3,1362416,124,10987.22581,0.000091,3,1362416,535026,294115,54.97209481,TX,33017,19825,21071,22852,23173,25512,24778,25693,21254,42583,54763,70542,50145,32594,32621,34603,"Austin, TX Urbanized Area (2010)",154175,77652,76523,13,10.7,15.5,908237,449677,458560,28.6,28.4,28.8,15.2,16.1,14.4,43.8,44.4,43.2,259862,131910,127952,43.8,40.3,47.4,226589,116520,110069,46.5,45.3,47.8,312801,154358,158443,43.5,45.5,41.5,108985,46889,62096,39.1,50.2,30.8,39352,44381,33836,50661,62904,43329,66350,85307,53377,138052.024,"30.2669444,-97.7427778"
19234,"Columbus, OH","Columbus, OH Urbanized Area (2010)",58.94,35,23.94,23210.63794,0,1368035,35,39086.71429,0.0000256,0,1368035,542626,316733,58.37040614,OH,42673,25185,26269,27398,26714,27704,25769,25724,22276,42967,55543,66800,45415,28042,28358,25789,"Columbus, OH Urbanized Area (2010)",149621,74965,74656,13.9,11.5,16.4,895572,426778,468794,24.9,25.7,24.1,13.7,14.2,13.2,38.6,39.9,37.3,222960,109330,113630,44.3,41.9,46.7,197009,97943,99066,42.4,41,43.8,337258,161989,175269,37.4,39.7,35.3,138345,57516,80829,26.7,35.2,20.7,38866,44461,33764,51156,60883,43182,65941,76997,56442,122693.364,"39.9611111,-82.9988889"
