,UANUM,UANAME,Population,Latitude,Longitude,4 Week Rate,4 Week TRP,CPP,CPM,AdvertisingCost,PredictedCount,ActualCount,PredictedActualDiff,PercentDiff,Households,HouseholdsPerStation,MarketSize
0,37,"Abbeville, LA",19824,29.9744444,-92.1341667,17577.058823529398,870.5882352941002,20.1176470588,5.1176470588,101.45223529365121,0.78,0,0.78,0.78,7529,9652.564102564102,Small
1,64,"Abbeville, SC",5243,34.17805560000001,-82.3791667,1800.0,800.0,2.5,7.0,36.701,0.0,0,0.0,0.0,2011,inf,Small
2,91,"Abbotsford, WI",3966,44.9463889,-90.3158333,1852.1428571429,1000.0,2.4285714286,8.4285714286,33.4277142858276,0.0,0,0.0,0.0,1445,inf,Small
3,199,"Aberdeen--Bel Air South--Bel Air North, MD",213751,39.519347,-76.185598,122361.3125,156.25,205.6875,8.914375,1905.456570625,18.64,12,6.64,0.510769231,79703,4275.912017167382,Medium
4,118,"Aberdeen, MS",4666,33.825,-88.54361109999998,5096.5,1000.0,5.625,9.375,43.743750000000006,0.0,0,0.0,0.0,1795,inf,Small
5,145,"Aberdeen, SD",25977,45.4647222,-98.4861111,3082.5,1000.0,3.0,8.5,220.8045,1.76,2,-0.24,-0.08,11289,6414.204545454545,Small
6,172,"Aberdeen, WA",29856,46.97555560000001,-123.8144444,151865.05,142.5,261.0,6.6745,199.273872,0.34,0,0.34,0.34,11188,32905.882352941175,Small
7,226,"Abernathy, TX",2785,33.832222200000004,-101.8425,8422.6666666667,600.0,16.0833333333,6.166666666699999,17.1741666667595,0.0,0,0.0,0.0,1170,inf,Small
8,253,"Abilene, KS",7054,38.9172222,-97.2136111,1126.0,466.6666666667,2.6666666667,6.0,42.324,0.04,0,0.04,0.04,2851,71275.0,Small
9,280,"Abilene, TX",110421,32.4486111,-99.7327778,3502.0833333333007,766.6666666666998,5.25,3.3333333333,368.0699999963193,2.08,2,0.08,0.026666667,41368,19888.46153846154,Medium
10,334,"Abingdon, IL",3389,40.8044444,-90.4016667,525.0,200.0,3.0,4.0,13.556,0.0,0,0.0,0.0,1322,inf,Small
11,388,"Ada, OH",5945,40.7694444,-83.8227778,1600.0,485.7142857143,4.0,4.1428571429000005,24.629285714540504,0.16,0,0.16,0.16,1739,10868.75,Small
12,415,"Ada, OK",17400,34.77444439999999,-96.6780556,1460.0,266.6666666667,6.666666666699999,6.333333333300001,110.19999999942,0.7,0,0.7,0.7,7122,10174.285714285716,Small
13,450,"Adams, NY",2542,43.8091667,-76.02444440000002,500.0,400.0,1.0,1.0,2.542,0.06,0,0.06,0.06,1055,17583.333333333336,Small
14,469,"Adel, GA",6986,31.1369444,-83.42361109999999,8700.0,580.0,16.6,4.9,34.2314,0.06,0,0.06,0.06,2425,40416.66666666667,Small
15,496,"Adel, IA",3170,41.6144444,-94.0172222,36386.5625,156.25,59.5625,6.965,22.07905,0.14,0,0.14,0.14,1435,10249.999999999998,Small
16,550,"Adjuntas, PR",11122,18.1647222,-66.7225,7500.0,400.0,19.0,6.0,66.732,0.12,0,0.12,0.12,3629,30241.666666666668,Small
17,577,"Adrian, MI",44823,41.8975,-84.0372222,2550.0,200.0,6.5,6.5,291.3495,0.2,0,0.2,0.2,16666,83330.0,Small
18,631,"Aguadilla--Isabela--San Sebasti�n, PR",306196,18.325889,-66.97681899999999,7500.0,400.0,19.0,6.0,1837.1760000000002,0.54,0,0.54,0.54,97811,181131.48148148146,Medium
19,658,"Ahoskie, NC",4951,36.28666670000001,-76.985,3197.1428571428996,742.8571428571,4.4285714286,6.4285714286,31.827857142998596,0.02,0,0.02,0.02,1884,94200.0,Small
20,676,"Air Force Academy, CO",5512,38.998357,-104.861753,13625.0,528.5714285714,25.785714285700003,4.7857142857,26.378857142778397,0.22,0,0.22,0.22,205,931.8181818181819,Small
21,712,"Ajo, AZ",3076,32.3716667,-112.86,95000.0,300.0,332.5,8.5,26.146,0.0,0,0.0,0.0,1429,inf,Small
22,739,"Akron, NY",2982,43.0208333,-78.4955556,2983.3333333333007,400.0,7.666666666699999,15.333333333299999,45.7239999999006,0.02,0,0.02,0.02,1217,60850.0,Small
23,766,"Akron, OH",569499,41.08138889999999,-81.5191667,110788.5625,156.25,182.25,6.158125,3507.046029375,17.34,18,-0.66,-0.034736842000000004,230922,13317.301038062284,Medium
24,793,"Alachua, FL",4114,29.751388899999995,-82.425,11296.0625,156.25,18.5,6.889375,28.34288875,0.0,0,0.0,0.0,1606,inf,Small
25,820,"Alamogordo, NM",31862,32.89944439999999,-105.9597222,3333.3333333333007,766.6666666666998,5.666666666699999,9.3333333333,297.3786666656046,1.1,0,1.1,1.1,12768,11607.272727272726,Small
26,847,"Alamosa, CO",9751,37.46944439999999,-105.86944440000002,1550.0,400.0,4.0,7.5,73.1325,0.8,0,0.8,0.8,3837,4796.25,Small
27,970,"Albany--Schenectady, NY",594962,42.8141667,-73.94,21228.888888888898,555.5555555556,41.8888888889,5.4444444444,3239.237555529113,47.04,55,-7.96,-0.14214285699999998,237315,5044.961734693878,Medium
28,901,"Albany, GA",95779,31.5783333,-84.1558333,8700.0,580.0,16.6,4.9,469.31710000000004,2.16,2,0.16,0.053333333,35813,16580.09259259259,Small
29,921,"Albany, MN",2564,45.63,-94.5697222,4944.4444444445,422.2222222222,12.222222222200001,6.1111111111000005,15.668888888860401,0.04,0,0.04,0.04,1083,27075.0,Small
30,955,"Albany, OR",56997,44.6366667,-123.1047222,600.0,200.0,3.0,4.0,227.988,3.82,4,-0.18,-0.036000000000000004,21651,5667.801047120419,Small
31,982,"Albemarle, NC",16823,35.35,-80.2002778,1350.0,300.0,5.0,7.0,117.761,0.2,0,0.2,0.2,6862,34310.0,Small
32,1009,"Albert Lea, MN",17868,43.648055600000006,-93.3680556,1388.3333333332998,466.6666666667,3.0,12.0,214.416,1.44,2,-0.56,-0.18666666699999998,7864,5461.111111111111,Small
33,1036,"Albertville, AL",36815,34.2675,-86.2088889,1600.0,400.0,4.0,4.0,147.26,1.88,2,-0.12,-0.04,12644,6725.531914893618,Small
34,1063,"Albia, IA",3573,41.0266667,-92.8055556,3322.7272727273,1000.0,3.6363636364,13.090909090899999,46.77381818178569,0.0,0,0.0,0.0,1401,inf,Small
35,1090,"Albion, MI",9219,42.24305560000001,-84.7530556,2466.6666666667,400.0,7.0,3.6666666667,33.8030000003073,0.62,1,-0.38,-0.19,3412,5503.225806451613,Small
