Unnamed: 0,UANUM,UANAME,Population,Latitude,Longitude,4 Week Rate,4 Week TRP,CPP,CPM,AdvertisingCost,PredictedCount,ActualCount,PredictedActualDiff,PercentDiff,Households,HouseholdsPerStation,MarketSize,LatitudeAug
1898,51445,"Los Angeles--Long Beach--Anaheim, CA",12150996,33.8352778,-117.9136111,29980,560,79.2,2.2,26732.1912,647.82,835,-187.18,-0.223899522,3973143,6133.097157,Large,33.83946378
2308,63217,"New York--Newark, NY--NJ--CT",18351295,43.0466667,-77.0955556,35908.33333,733.3333333,51,5.833333333,107049.2208,491.7,402,89.7,0.222580645,6646283,13516.94733,Large,43.04798255
2845,78904,"San Francisco--Oakland, CA",3281212,37.8044444,-122.2697222,114990.5769,149.0384615,193.8846154,3.433461539,11265.9152,390.42,420,-29.58,-0.070261283,1247902,3196.306542,Large,37.81173815
2901,80389,"Seattle, WA",3059393,47.6063889,-122.3308333,151865.05,142.5,261,6.6745,20419.91858,322.64,361,-38.36,-0.105966851,1231583,3817.204934,Large,47.61328952
3376,92242,"Washington, DC--VA--MD",4586770,38.895,-77.0366667,342597.875,156.25,556.5652174,11.01416667,50519.44924,319.02,293,26.02,0.088503401,1715227,5376.55006,Large,38.89775669
343,9271,"Boston, MA--NH--RI",4181019,42.3583333,-71.0602778,266514,156.25,441.0625,8.63125,36087.42024,310.46,258,52.46,0.202548263,1610426,5187.225407,Large,42.36164471
594,16264,"Chicago, IL--IN",8608208,41.85,-87.65,140155.0833,156.25,233.6666667,3.181666667,27388.44845,269.82,348,-78.18,-0.224011461,3122451,11572.34823,Large,41.8580649
137,3817,"Atlanta, GA",4515419,33.7488889,-84.3880556,64242.25,156.25,106.3125,2.140625,9665.818797,264.08,281,-16.92,-0.06,1645076,6229.460769,Large,33.7489849
799,22042,"Dallas--Fort Worth--Arlington, TX",5121892,32.7355556,-97.1077778,50775,400,155.5,3,15365.676,223.62,238,-14.38,-0.060167364,1870678,8365.43243,Large,32.73865328
2843,78661,"San Diego, CA",2956746,32.7152778,-117.1563889,62375,300,212,7.5,22175.595,222.26,235,-12.74,-0.053983051,1033430,4649.64456,Large,32.71575505
