UANUM,UANAME,4 Week Rate,Latitude,Longitude,PredictedStationCount,DiffPredictActual,PredictedPeoplePerStation,Population,PredictedStationsPerHousehold
37,"Abbeville, LA",16190.0,29.974444399999996,-92.13416670000001,0.68,0.68,0.68,19824,9.031743923495817e-05
64,"Abbeville, SC",2625.0,34.17805560000001,-82.3791667,0.0,0.0,0.0,5243,0.0
91,"Abbotsford, WI",1852.1428571429,44.946388899999995,-90.3158333,0.0,0.0,0.0,3966,0.0
199,"Aberdeen--Bel Air South--Bel Air North, MD",122361.3125,39.519346999999996,-76.185598,12.34,0.34,0.026153846,213751,0.0001548247870218185
118,"Aberdeen, MS",4601.5,33.825,-88.54361109999999,0.04,0.04,0.04,4666,2.2284122562674096e-05
145,"Aberdeen, SD",3082.5,45.464722200000004,-98.48611109999999,1.58,-0.42,-0.14,25977,0.0001399592523695633
172,"Aberdeen, WA",3850.0,46.97555560000001,-123.81444440000001,0.58,0.58,0.58,29856,5.184125849124061e-05
226,"Abernathy, TX",8853.0,33.832222200000004,-101.8425,0.02,0.02,0.02,2785,1.7094017094017095e-05
253,"Abilene, KS",1126.0,38.9172222,-97.2136111,0.08,0.08,0.08,7054,2.806032970887408e-05
280,"Abilene, TX",3325.0,32.4486111,-99.7327778,2.72,0.72,0.24,110421,6.575130535679753e-05
334,"Abingdon, IL",525.0,40.804444399999994,-90.4016667,0.0,0.0,0.0,3389,0.0
388,"Ada, OH",1625.0,40.7694444,-83.8227778,0.04,0.04,0.04,5945,2.3001725129384705e-05
415,"Ada, OK",1460.0,34.77444439999999,-96.6780556,0.58,0.58,0.58,17400,8.143779837124403e-05
450,"Adams, NY",500.0,43.8091667,-76.02444440000001,0.06,0.06,0.06,2542,5.687203791469194e-05
469,"Adel, GA",7500.0,31.136944399999997,-83.42361109999999,0.1,0.1,0.1,6986,4.1237113402061855e-05
496,"Adel, IA",36386.5625,41.6144444,-94.0172222,0.04,0.04,0.04,3170,2.7874564459930316e-05
550,"Adjuntas, PR",3000.0,18.164722199999996,-66.7225,0.12,0.12,0.12,11122,3.306696059520529e-05
577,"Adrian, MI",2550.0,41.8975,-84.0372222,0.72,0.72,0.72,44823,4.320172806912276e-05
631,"Aguadilla--Isabela--San Sebasti�n, PR",4200.0,18.325889,-66.97681899999999,0.54,0.54,0.54,306196,5.520851437977324e-06
658,"Ahoskie, NC",3112.5,36.286666700000005,-76.985,0.06,0.06,0.06,4951,3.184713375796178e-05
676,"Air Force Academy, CO",12263.125,38.998357,-104.86175300000001,0.14,0.14,0.14,5512,0.0006829268292682927
712,"Ajo, AZ",123595.375,32.3716667,-112.86,0.0,0.0,0.0,3076,0.0
739,"Akron, NY",2983.3333333333007,43.0208333,-78.4955556,0.12,0.12,0.12,2982,9.860312243221034e-05
766,"Akron, OH",3391.5,41.08138889999999,-81.5191667,18.16,0.16,0.008421053000000001,569499,7.864127281073263e-05
793,"Alachua, FL",11296.0625,29.751388899999995,-82.425,0.1,0.1,0.1,4114,6.2266500622665e-05
820,"Alamogordo, NM",3333.3333333333007,32.89944439999999,-105.9597222,1.46,1.46,1.46,31862,0.00011434837092731829
847,"Alamosa, CO",1550.0,37.46944439999999,-105.86944440000002,0.9,0.9,0.9,9751,0.00023455824863174356
970,"Albany--Schenectady, NY",28526.0,42.8141667,-73.94,44.38,-10.62,-0.189642857,594962,0.00018700882792912376
901,"Albany, GA",7500.0,31.578333299999997,-84.1558333,3.52,1.52,0.5066666670000001,95779,9.828833105296959e-05
921,"Albany, MN",4690.0,45.63,-94.5697222,0.0,0.0,0.0,2564,0.0
955,"Albany, OR",2100.0,44.6366667,-123.10472220000001,3.18,-0.82,-0.16399999999999998,56997,0.00014687543300540392
982,"Albemarle, NC",1350.0,35.35,-80.2002778,0.16,0.16,0.16,16823,2.331681725444477e-05
1009,"Albert Lea, MN",1388.3333333332998,43.648055600000006,-93.3680556,1.4,-0.6,-0.2,17868,0.0001780264496439471
1036,"Albertville, AL",1600.0,34.2675,-86.2088889,1.82,-0.18,-0.06,36815,0.0001439417905726036
1063,"Albia, IA",3322.7272727273,41.0266667,-92.8055556,0.0,0.0,0.0,3573,0.0
1090,"Albion, MI",2466.6666666667,42.243055600000005,-84.7530556,0.64,-0.36,-0.18,9219,0.00018757327080890974
1117,"Albion, NY",2983.3333333333007,43.2463889,-78.1938889,0.08,0.08,0.08,8171,3.327787021630616e-05
1144,"Albion, PA",6683.333333333299,41.890555600000006,-80.3666667,0.0,0.0,0.0,4574,0.0
1171,"Albuquerque, NM",14180.0,35.084444399999995,-106.65055559999999,19.92,4.92,0.3075,741318,6.793186352243082e-05
1198,"Alderson, WV",4766.6666666667,37.7258333,-80.6422222,0.0,0.0,0.0,2632,0.0
1225,"Aledo, IL",33565.3333333333,41.199722200000004,-90.7491667,0.0,0.0,0.0,3655,0.0
1232,"Aledo, TX",3150.0,32.6958333,-97.60194440000001,0.3,0.3,0.3,4854,0.00019582245430809398
1252,"Alexander City, AL",7073.333333333299,32.9438889,-85.95388890000001,0.0,0.0,0.0,9400,0.0
1279,"Alexandria, LA",6758.9473684211,31.311111100000005,-92.445,1.98,-0.02,-0.006666666999999999,82804,6.862609177873284e-05
1306,"Alexandria, MN",1459.0,45.8852778,-95.3772222,0.14,0.14,0.14,16983,1.7782293915915156e-05
1333,"Alfred, NY",2983.3333333333007,42.2541667,-77.7908333,0.4,0.4,0.4,4322,0.0008097165991902835
1360,"Algoma, WI",675.0,44.6088889,-87.4325,0.02,0.02,0.02,3070,1.5071590052750565e-05
1387,"Algona, IA",500.0,43.07,-94.2327778,0.12,0.12,0.12,5340,4.838709677419355e-05
1414,"Alice, TX",10394.4285714286,27.751944399999996,-98.0694444,0.2,0.2,0.2,20974,2.7620494406849885e-05
1441,"Allegan, MI",3020.0,42.529166700000005,-85.8552778,0.08,0.08,0.08,6322,3.118908382066277e-05
1468,"Allendale, SC",65191.6666666667,33.0077778,-81.3086111,0.04,0.04,0.04,3307,3.6199095022624436e-05
1495,"Allentown, PA--NJ",3360.0,40.6083333,-75.4905556,13.0,5.0,0.5555555560000001,664651,5.161331305856523e-05
1522,"Alliance, NE",3375.0,42.1016667,-102.8716667,0.12,0.12,0.12,8486,3.2232070910556004e-05
1549,"Alliance, OH",3391.5,40.9152778,-81.10611109999999,0.22,0.22,0.22,32533,1.699104108742663e-05
1630,"Alma--St. Louis, MI",2040.0,43.398006,-84.668091,0.76,-0.24,-0.12,16924,0.0001474010861132661
1603,"Alma, GA",1875.0,31.539166700000003,-82.4625,0.04,0.04,0.04,3408,3.398470688190314e-05
1657,"Almont, MI",52958.3333333333,42.92055560000001,-83.045,0.12,0.12,0.12,2719,0.00011505273250239692
1684,"Alpena, MI",3880.0,45.0616667,-83.4327778,0.08,0.08,0.08,14258,1.2606366214938544e-05
1711,"Alpine, TX",1733.3333333332998,30.358333299999998,-103.6605556,0.14,0.14,0.14,6013,5.52268244575937e-05
1738,"Altavista, VA",2500.0,37.1116667,-79.2858333,0.02,0.02,0.02,4663,9.601536245799328e-06
