UA,UANAME,ZCTA5
199,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",99999
631,"Aguadilla--Isabela--San Sebastin, PR Urbanized Area",99999
2305,"Anchorage, AK Urbanized Area",99999
2629,"Anniston--Oxford, AL Urbanized Area",99999
2683,"Antioch, CA Urbanized Area",99999
2710,"Apalachicola, FL Urban Cluster",99999
2764,"Appleton, WI Urbanized Area",99999
3034,"Arecibo, PR Urbanized Area",99999
3547,"Astoria, OR Urban Cluster",99999
3898,"Atlantic City, NJ Urbanized Area",99999
4222,"Augusta-Richmond County, GA--SC Urbanized Area",99999
4465,"Avenal, CA Urban Cluster",99999
4843,"Baltimore, MD Urbanized Area",99999
5707,"Battle Creek, MI Urbanized Area",99999
6517,"Belle Glade, FL Urban Cluster",99999
7508,"Big Bear City, CA Urban Cluster",99999
8677,"Boardman, OR Urban Cluster",99999
9217,"Borger, TX Urban Cluster",99999
9271,"Boston, MA--NH--RI Urbanized Area",99999
9946,"Bremerton, WA Urbanized Area",99999
11350,"Buffalo, NY Urbanized Area",99999
11539,"Buras, LA Urban Cluster",99999
12268,"Cairo, IL Urban Cluster",99999
13591,"Carbondale, IL Urbanized Area",99999
15184,"Chambersburg, PA Urbanized Area",99999
16264,"Chicago, IL--IN Urbanized Area",99999
17317,"Clarksville, TN--KY Urbanized Area",99999
17938,"Clinton, IA--IL Urban Cluster",99999
18383,"Coco--Salinas, PR Urban Cluster",99999
19099,"Columbus, GA--AL Urbanized Area",99999
19504,"Concord, CA Urbanized Area",99999
19597,"Conesus Lake, NY Urban Cluster",99999
20287,"Corpus Christi, TX Urbanized Area",99999
21928,"Dahlgren, VA--MD Urban Cluster",99999
22042,"Dallas--Fort Worth--Arlington, TX Urbanized Area",99999
23527,"Denver--Aurora, CO Urbanized Area",99999
23770,"De Soto, KS Urban Cluster",99999
24391,"Donaldsonville, LA Urban Cluster",99999
26345,"Eielson AFB, AK Urban Cluster",99999
26750,"Elizabethtown--Radcliff, KY Urbanized Area",99999
27253,"El Paso, TX--NM Urbanized Area",99999
27361,"Ely, NV Urban Cluster",99999
28306,"Evanston, WY Urban Cluster",99999
28549,"Fairbanks, AK Urbanized Area",99999
28981,"Fajardo, PR Urbanized Area",99999
29980,"Florence, AZ Urban Cluster",99999
30115,"Florida--Imbry--Barceloneta, PR Urbanized Area",99999
30925,"Fort Smith, AR--OK Urbanized Area",99999
31060,"Fort Walton Beach--Navarre--Wright, FL Urbanized Area",99999
31303,"Franklin, LA Urban Cluster",99999
32491,"Galveston, TX Urban Cluster",99999
33733,"Gloversville, NY Urban Cluster",99999
34151,"Gramercy--Lutcher, LA Urban Cluster",99999
35083,"Green River, WY Urban Cluster",99999
35866,"Guayama, PR Urbanized Area",99999
35920,"Gulfport, MS Urbanized Area",99999
37243,"Hartford, CT Urbanized Area",99999
37756,"Hawthorne, NV Urban Cluster",99999
39133,"Hinesville, GA Urbanized Area",99999
39943,"Hooks, TX Urban Cluster",99999
40429,"Houston, TX Urbanized Area",99999
42346,"Jacksonville, FL Urbanized Area",99999
42481,"Jamestown, NY Urban Cluster",99999
43453,"Juana Daz, PR Urbanized Area",99999
43696,"Kalaheo, HI Urban Cluster",99999
44236,"Kekaha, HI Urban Cluster",99999
44992,"Killeen, TX Urbanized Area",99999
45910,"La Crosse, WI--MN Urbanized Area",99999
46465,"Lake Arrowhead--Crestline, CA Urban Cluster",99999
46801,"Lake Jackson--Angleton, TX Urbanized Area",99999
47995,"Las Vegas--Henderson, NV Urbanized Area",99999
48232,"Lawrence, KS Urbanized Area",99999
48799,"Leesburg--Eustis--Tavares, FL Urbanized Area",99999
49042,"Lemoore Station, CA Urban Cluster",99999
50392,"Little Rock, AR Urbanized Area",99999
51445,"Los Angeles--Long Beach--Anaheim, CA Urbanized Area",99999
53200,"Madison, WI Urbanized Area",99999
53848,"Manhattan, KS Urbanized Area",99999
54199,"Manteo, NC Urban Cluster",99999
55738,"Mayagez, PR Urbanized Area",99999
56116,"Memphis, TN--MS--AR Urbanized Area",99999
56170,"Mendota, CA Urban Cluster",99999
56602,"Miami, FL Urbanized Area",99999
57709,"Mission Viejo--Lake Forest--San Clemente, CA Urbanized Area",99999
57925,"Mobile, AL Urbanized Area",99999
58020,"Mojave, CA Urban Cluster",99999
59221,"Morgan City, LA Urban Cluster",99999
59707,"Mountain Home, ID Urban Cluster",99999
61570,"Nephi, UT Urban Cluster",99999
61786,"New Bedford, MA Urbanized Area",99999
62407,"New Haven, CT Urbanized Area",99999
62677,"New Orleans, LA Urbanized Area",99999
63217,"New York--Newark, NY--NJ--CT Urbanized Area",99999
64945,"Ogden--Layton, UT Urbanized Area",99999
66160,"Oshkosh, WI Urbanized Area",99999
66484,"Owensboro, KY Urbanized Area",99999
67105,"Palm Bay--Melbourne, FL Urbanized Area",99999
67807,"Pascagoula, MS Urbanized Area",99999
68482,"Pensacola, FL--AL Urbanized Area",99999
68509,"Peoria, IL Urbanized Area",99999
69076,"Philadelphia, PA--NJ--DE--MD Urbanized Area",99999
69319,"Pierre Part, LA Urban Cluster",99999
70642,"Ponce, PR Urbanized Area",99999
70993,"Port Arthur, TX Urbanized Area",99999
71452,"Port St. Joe, FL Urban Cluster",99999
71803,"Poughkeepsie--Newburgh, NY--NJ Urbanized Area",99999
71857,"Prairie du Chien, WI--IA Urban Cluster",99999
72505,"Providence, RI--MA Urbanized Area",99999
72694,"Pulaski, VA Urban Cluster",99999
74179,"Reno, NV--CA Urbanized Area",99999
74827,"Ridgecrest, CA Urban Cluster",99999
75853,"Rockport, TX Urban Cluster",99999
76474,"Round Lake Beach--McHenry--Grayslake, IL--WI Urbanized Area",99999
76717,"Running Springs, CA Urban Cluster",99999
77068,"Sacramento, CA Urbanized Area",99999
77932,"St. Marys--Kingsland, GA Urban Cluster",99999
78661,"San Diego, CA Urbanized Area",99999
78904,"San Francisco--Oakland, CA Urbanized Area",99999
